,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
0,300433.SZ,300433,1,蓝思科技,13.63,电子设备,长沙市,0.14,0.15,8.54,1.78,49.73,49.61,676.13,13.63,-1.8
1,300413.SZ,300413,1,芒果超媒,38.5,互联网,长沙市,0.15,0.9,10.0,9.41,18.71,10.22,393.35,38.5,-2.48
2,300408.SZ,300408,1,三环集团,33.09,电子设备,潮州市,0.22,0.65,8.77,7.53,19.16,18.5,612.3,33.09,1.01
3,300347.SZ,300347,1,泰格医药,101.82,医药生物,杭州市,0.26,2.32,22.45,10.64,8.72,5.7,580.26,101.82,4.75
4,300316.SZ,300316,1,晶盛机电,69.44,电气设备,绍兴市,0.23,2.26,8.23,33.21,13.09,12.31,854.62,69.44,0.2
5,300274.SZ,300274,1,阳光电源,99.46,电气设备,合肥市,0.53,1.39,11.5,12.59,14.85,11.29,1122.75,99.46,-1.59
6,300223.SZ,300223,1,北京君正,112.98,电子设备,北京市,0.13,1.52,23.28,6.8,4.82,4.1,463.41,112.98,3.29
7,300207.SZ,300207,1,欣旺达,19.85,电子设备,深圳市,0.13,0.4,7.82,5.19,18.62,17.28,343.05,19.85,0.2
8,300142.SZ,300142,1,沃森生物,36.09,医药生物,昆明市,0.28,0.45,5.65,8.3,16.07,15.68,565.72,36.09,3.35
9,300124.SZ,300124,1,汇川技术,68.52,机械设备,深圳市,0.65,1.17,6.93,18.02,26.58,23.08,1581.11,68.52,-1.21
10,300122.SZ,300122,1,智飞生物,83.0,医药生物,重庆市,0.33,4.71,15.15,35.99,16.0,9.25,768.1,83.0,1.27
11,300059.SZ,300059,1,东方财富,22.45,互联网,上海市,1.18,0.65,4.93,15.58,132.14,110.89,2489.41,22.45,1.91
12,300033.SZ,300033,1,同花顺,220.0,互联网,杭州市,0.23,3.15,13.48,24.65,5.38,2.72,597.4,220.0,2.18
13,300015.SZ,300015,1,爱尔眼科,30.44,医药生物,长沙市,0.54,0.34,2.31,17.11,71.77,58.03,1766.45,30.44,2.56
14,300014.SZ,300014,1,亿纬锂能,67.12,有色金属,惠州市,0.42,1.4,10.56,14.04,20.46,18.49,1240.73,67.12,-0.19
15,003816.SZ,003816,1,中国广核,2.91,公用事业,深圳市,0.12,0.2,2.12,9.58,504.99,393.35,1144.65,2.91,-0.68
16,002938.SZ,002938,1,鹏鼎控股,31.78,电子设备,深圳市,0.11,2.16,12.04,19.37,23.21,22.76,723.42,31.78,-0.66
17,002920.SZ,002920,1,德赛西威,117.21,交运设备,惠州市,0.16,2.15,11.66,20.04,5.55,5.5,644.48,117.21,4.46
18,002916.SZ,002916,1,深南电路,93.58,电子设备,深圳市,0.1,3.22,23.88,15.79,5.13,5.1,476.87,93.58,-3.33
19,002841.SZ,002841,1,视源股份,78.2,电子设备,广州市,0.14,2.36,16.43,16.09,7.01,4.76,371.99,78.2,-2.46
20,002821.SZ,002821,1,凯莱英,144.04,医药生物,天津市,0.14,9.02,42.3,23.37,3.7,3.28,471.81,144.04,6.71
21,002812.SZ,002812,1,恩捷股份,111.83,轻工制造,玉溪市,0.3,4.48,19.81,25.35,8.92,7.44,832.43,111.83,0.48
22,002756.SZ,002756,1,永兴材料,83.82,钢铁,湖州市,0.09,15.59,29.61,73.0,4.15,2.81,235.87,83.82,-0.05
23,002736.SZ,002736,1,国信证券,9.59,金融,深圳市,0.14,0.41,7.86,4.7,96.12,88.27,846.52,9.59,0.52
24,002714.SZ,002714,1,牧原股份,49.43,农林牧渔,南阳市,0.68,0.29,9.96,2.73,54.72,36.36,1797.32,49.43,-1.49
25,002709.SZ,002709,1,天赐材料,41.11,有色金属,广州市,0.24,2.28,5.63,47.8,19.27,13.81,567.92,41.11,1.21
26,002648.SZ,002648,1,卫星化学,16.07,基础化工,嘉兴市,0.14,1.26,8.77,14.91,33.69,33.63,540.4,16.07,1.13
27,002602.SZ,002602,1,世纪华通,6.64,互联网,绍兴市,0.16,0.09,4.32,2.18,74.53,68.78,456.71,6.64,9.93
28,002601.SZ,002601,1,龙佰集团,19.85,基础化工,焦作市,0.14,1.41,8.8,15.89,23.9,16.56,328.72,19.85,2.32
29,002600.SZ,002600,1,领益智造,6.2,电子设备,江门市,0.09,0.17,2.39,7.51,70.39,68.92,427.27,6.2,-2.36
30,002594.SZ,002594,1,比亚迪,249.28,交运设备,深圳市,1.15,5.71,38.14,16.13,29.11,11.65,2903.53,249.28,-0.29
31,002555.SZ,002555,1,三七互娱,31.0,互联网,芜湖市,0.2,1.02,5.23,20.18,22.18,16.36,507.01,31.0,3.44
32,002493.SZ,002493,1,荣盛石化,15.52,基础化工,杭州市,0.23,0.54,4.89,11.08,101.26,94.98,1474.13,15.52,5.72
33,002475.SZ,002475,1,立讯精密,31.1,电子设备,深圳市,0.79,0.9,5.88,16.5,71.3,71.19,2213.85,31.1,-0.64
34,002466.SZ,002466,1,天齐锂业,75.92,有色金属,遂宁市,0.4,15.52,29.55,78.77,16.41,14.75,1119.51,75.92,-0.42
35,002460.SZ,002460,1,赣锋锂业,64.19,有色金属,新余市,0.37,10.18,21.84,62.19,20.17,12.07,775.02,64.19,-0.11
36,002459.SZ,002459,1,晶澳科技,56.45,电气设备,邢台市,0.27,2.4,11.67,25.15,23.57,23.44,1323.14,56.45,-0.19
37,002415.SZ,002415,1,海康威视,45.58,信息技术,杭州市,1.05,0.94,6.92,13.73,93.64,91.09,4151.78,45.58,3.92
38,002414.SZ,002414,1,高德红外,12.45,电子设备,武汉市,0.08,0.16,2.12,7.27,32.85,26.14,325.43,12.45,-0.8
39,002410.SZ,002410,1,广联达,70.8,信息技术,北京市,0.34,0.82,5.3,15.98,11.91,9.91,701.83,70.8,-0.46
40,002371.SZ,002371,1,北方华创,312.66,电子设备,北京市,0.41,3.2,35.39,9.47,5.29,5.27,1648.18,312.66,1.7
41,002352.SZ,002352,1,顺丰控股,58.0,交通运输,深圳市,0.68,1.27,17.62,7.3,48.95,48.41,2807.93,58.0,6.07
42,002311.SZ,002311,1,海大集团,56.99,农林牧渔,广州市,0.24,1.27,9.85,13.64,16.61,16.6,946.02,56.99,-0.77
43,002304.SZ,002304,1,洋河股份,158.66,食品饮料,宿迁市,0.5,6.02,31.27,20.25,15.07,15.03,2384.2,158.66,-2.63
44,002271.SZ,002271,1,东方雨虹,36.01,建材,北京市,0.36,0.66,10.45,6.29,25.18,19.86,715.23,36.01,2.68
45,002252.SZ,002252,1,上海莱士,6.49,医药生物,上海市,0.15,0.24,4.27,5.87,67.41,67.38,437.31,6.49,0.0
46,002241.SZ,002241,1,歌尔股份,23.02,电子设备,潍坊市,0.28,1.15,9.24,13.03,34.2,30.08,692.48,23.02,-2.0
47,002236.SZ,002236,1,大华股份,27.0,信息技术,杭州市,0.23,0.57,8.28,6.95,30.33,19.58,528.67,27.0,7.02
48,002230.SZ,002230,1,科大讯飞,65.5,信息技术,合肥市,0.6,0.18,6.86,2.57,23.23,21.28,1393.97,65.5,2.38
49,002202.SZ,002202,1,金风科技,11.02,电气设备,乌鲁木齐市,0.15,0.52,8.31,6.45,42.25,33.93,373.96,11.02,0.09
0,002180.SZ,002180,1,纳思达,45.31,电子设备,珠海市,0.19,1.32,11.21,12.35,14.16,12.07,546.88,45.31,1.39
1,002179.SZ,002179,1,中航光电,56.39,电子设备,洛阳市,0.23,1.72,10.67,16.81,16.31,15.67,883.44,56.39,0.07
2,002142.SZ,002142,1,宁波银行,27.44,金融,宁波市,0.54,3.38,23.14,14.56,66.04,65.23,1790.03,27.44,1.74
3,002129.SZ,002129,1,TCL中环,49.05,电气设备,天津市,0.64,2.12,11.63,19.68,32.34,32.31,1584.97,49.05,-0.47
4,002120.SZ,002120,1,韵达股份,11.95,交通运输,宁波市,0.08,0.26,5.68,4.74,29.02,28.15,336.41,11.95,3.28
5,002074.SZ,002074,1,国轩高科,28.51,电气设备,合肥市,0.15,0.09,13.06,0.72,17.79,12.39,353.11,28.51,0.07
6,002064.SZ,002064,1,华峰化学,7.33,基础化工,温州市,0.07,0.5,4.58,11.58,49.63,49.52,362.98,7.33,0.0
7,002050.SZ,002050,1,三花智控,24.75,家电,绍兴市,0.28,0.46,3.24,14.04,35.91,35.37,875.52,24.75,-2.14
8,002049.SZ,002049,1,紫光国微,123.24,电子设备,唐山市,0.42,3.1,11.21,31.06,8.5,8.5,1047.07,123.24,1.85
9,002032.SZ,002032,1,苏泊尔,53.15,家电,台州市,0.04,2.57,8.7,28.21,8.09,8.06,428.19,53.15,0.34
10,002027.SZ,002027,1,分众传媒,6.44,互联网,广州市,0.32,0.15,1.29,11.49,144.42,144.42,930.08,6.44,1.42
11,002008.SZ,002008,1,大族激光,31.88,电子设备,深圳市,0.13,0.96,13.34,7.73,10.52,9.79,312.19,31.88,1.92
12,002007.SZ,002007,1,华兰生物,23.71,医药生物,新乡市,0.13,0.59,5.7,11.49,18.24,15.74,373.1,23.71,1.2
13,002001.SZ,002001,1,新和成,18.12,医药生物,绍兴市,0.17,0.98,7.44,13.44,30.91,30.55,553.48,18.12,0.28
14,001979.SZ,001979,1,招商蛇口,14.87,房地产,深圳市,0.22,0.41,10.79,4.05,77.39,77.38,1150.64,14.87,6.21
15,001289.SZ,001289,1,龙源电力,17.19,公用事业,北京市,0.01,0.58,7.61,7.45,83.82,1.33,22.92,17.19,0.76
16,000977.SZ,000977,1,浪潮信息,38.18,信息技术,济南市,0.2,1.06,10.77,9.69,14.64,14.62,558.14,38.18,-1.55
17,000963.SZ,000963,1,华东医药,47.21,医药生物,杭州市,0.21,1.13,10.33,11.44,17.54,17.5,826.03,47.21,0.02
18,000938.SZ,000938,1,紫光股份,34.16,信息技术,北京市,0.34,0.75,11.13,6.98,28.6,28.6,977.0,34.16,1.07
19,000895.SZ,000895,1,双汇发展,26.08,食品饮料,漯河市,0.14,1.62,6.31,25.17,34.65,34.64,903.44,26.08,-0.65
20,000877.SZ,000877,1,天山股份,8.95,建材,乌鲁木齐市,0.04,0.53,9.44,5.75,86.63,16.54,147.99,8.95,0.34
21,000876.SZ,000876,1,新希望,14.1,农林牧渔,绵阳市,0.16,-0.61,5.48,-8.82,45.38,45.02,634.81,14.1,-0.77
22,000858.SZ,000858,1,五粮液,189.06,食品饮料,宜宾市,1.87,5.15,27.65,19.37,38.82,38.81,7338.26,189.06,-0.78
23,000800.SZ,000800,1,一汽解放,8.19,交运设备,长春市,0.04,0.07,5.1,1.47,46.52,14.25,116.67,8.19,0.12
24,000792.SZ,000792,1,盐湖股份,22.3,基础化工,海西蒙古族藏族自治州,0.61,2.93,4.64,90.17,54.33,54.33,1211.52,22.3,0.09
25,000786.SZ,000786,1,北新建材,28.14,建材,北京市,0.14,1.86,12.4,15.72,16.9,16.32,459.37,28.14,2.7
26,000776.SZ,000776,1,广发证券,16.45,金融,广州市,0.24,1.02,14.32,6.99,76.21,59.19,973.72,16.45,1.17
27,000768.SZ,000768,1,中航西飞,26.6,国防与装备,西安市,0.19,0.24,5.86,4.11,27.82,27.69,736.46,26.6,-0.93
28,000733.SZ,000733,1,振华科技,96.09,电子设备,贵阳市,0.17,3.6,17.67,22.46,5.2,5.2,499.72,96.09,4.66
29,000725.SZ,000725,1,京东方A,4.47,电子设备,北京市,0.85,0.19,3.35,5.41,381.96,371.88,1662.33,4.47,-0.22
30,000723.SZ,000723,1,美锦能源,9.02,化石能源,太原市,0.12,0.4,3.09,13.03,43.26,39.72,358.26,9.02,0.22
31,000708.SZ,000708,1,中信特钢,17.76,钢铁,黄石市,0.09,1.41,7.09,20.62,50.47,50.47,896.37,17.76,0.45
32,000661.SZ,000661,1,长春高新,169.75,医药生物,长春市,0.27,10.29,44.6,25.38,4.05,4.02,682.43,169.75,3.12
33,000651.SZ,000651,1,格力电器,37.29,家电,珠海市,0.84,3.25,17.0,18.36,56.31,55.87,2083.57,37.29,1.47
34,000625.SZ,000625,1,长安汽车,11.84,交运设备,重庆市,0.3,0.7,6.23,11.74,99.22,76.49,905.6,11.84,0.59
35,000596.SZ,000596,1,古井贡酒,290.5,食品饮料,亳州市,0.24,4.96,34.04,15.19,5.29,4.09,1186.98,290.5,-1.69
36,000568.SZ,000568,1,泸州老窖,249.0,食品饮料,泸州市,0.93,5.59,21.63,27.45,14.72,14.65,3646.62,249.0,-0.42
37,000538.SZ,000538,1,云南白药,55.91,医药生物,昆明市,0.2,1.9,21.43,7.82,17.97,16.85,941.86,55.91,0.74
38,000425.SZ,000425,1,徐工机械,6.96,机械设备,徐州市,0.21,0.4,4.42,9.01,118.16,48.37,336.63,6.96,-1.56
39,000408.SZ,000408,1,藏格矿业,23.92,基础化工,海西蒙古族藏族自治州,0.08,3.57,7.67,52.41,15.8,15.8,378.04,23.92,-0.58
40,000338.SZ,000338,1,潍柴动力,12.41,交运设备,潍坊市,0.34,0.57,8.39,6.75,87.27,50.48,626.5,12.41,-0.88
41,000333.SZ,000333,1,美的集团,54.68,家电,佛山市,1.34,3.59,19.89,18.53,69.97,68.53,3747.26,54.68,1.22
42,000301.SZ,000301,1,东方盛虹,13.2,基础化工,苏州市,0.13,0.26,4.97,5.28,66.11,55.0,725.96,13.2,0.46
43,000166.SZ,000166,1,申万宏源,4.24,金融,乌鲁木齐市,0.19,0.11,3.8,2.93,250.4,225.36,955.51,4.24,0.24
44,000157.SZ,000157,1,中联重科,6.39,机械设备,长沙市,0.16,0.27,6.31,4.13,86.78,70.69,451.69,6.39,-0.93
45,000100.SZ,000100,1,TCL科技,4.63,电子设备,惠州市,0.32,0.02,2.97,0.56,170.72,136.52,632.07,4.63,-0.43
46,000069.SZ,000069,1,华侨城A,5.12,房地产,深圳市,0.1,-1.33,8.02,-14.53,82.02,70.56,361.29,5.12,3.85
47,000063.SZ,000063,1,中兴通讯,37.0,信息技术,深圳市,0.54,1.71,12.38,14.67,47.37,39.8,1472.73,37.0,9.99
48,000002.SZ,000002,1,万科A,15.82,房地产,深圳市,0.52,1.95,21.0,9.45,119.31,97.17,1537.18,15.82,5.19
49,000001.SZ,000001,1,平安银行,12.62,金融,深圳市,0.62,2.2,18.8,10.97,194.06,194.06,2448.98,12.62,0.32
